community,metadata,esri_file_gdb,csv_with_shp,landcover,connectivity,int_dens,pct_st_gs,pct_st_tc,changelog
"Austin, TX",https://enviroatlas.epa.gov/download/ATX_metrics_Apr2020_METADATA.zip,https://enviroatlas.epa.gov/download/ATX_metrics_Apr2020_FGDB.zip,https://enviroatlas.epa.gov/download/ATX_metrics_Apr2020_CSV_Shapes.zip,https://enviroatlas.epa.gov/download/ATX_MULC_tif.zip,https://enviroatlas.epa.gov/download/ATX_Conn_tif.zip,https://enviroatlas.epa.gov/download/ATX_IntDen_tif.zip,https://enviroatlas.epa.gov/download/ATX_PctStGS_tif.zip,https://enviroatlas.epa.gov/download/ATX_PctStTC_tif.zip,https://enviroatlas.epa.gov/download/ATX_changelog.txt
"Baltimore, MD",https://enviroatlas.epa.gov/download//BMD_metrics_Apr2020_METADATA.zip,https://enviroatlas.epa.gov/download//BMD_metrics_Apr2020_FGDB.zip,https://enviroatlas.epa.gov/download/BMD_metrics_Apr2020_CSV_Shapes.zip,https://enviroatlas.epa.gov/download/BMD_MULC_tif.zip,https://enviroatlas.epa.gov/download/BMD_Conn_tif.zip,https://enviroatlas.epa.gov/download/BMD_IntDen_tif.zip,https://enviroatlas.epa.gov/download/BMD_PctStGS_tif.zip,https://enviroatlas.epa.gov/download/BMD_PctStTC_tif.zip,https://enviroatlas.epa.gov/download/BMD_changelog.txt
"Birmingham, AL",https://enviroatlas.epa.gov/download/BirAL_metrics_Apr2020_METADATA.zip,https://enviroatlas.epa.gov/download/BirAL_metrics_Apr2020_FGDB.zip,https://enviroatlas.epa.gov/download/BirAL_metrics_Apr2020_CSV_Shapes.zip,https://enviroatlas.epa.gov/download/BirAL_MULC_tif.zip,https://enviroatlas.epa.gov/download/BirAL_Conn_tif.zip,https://enviroatlas.epa.gov/download/BirAL_IntDen_tif.zip,https://enviroatlas.epa.gov/download/BirAL_PctStGS_tif.zip,https://enviroatlas.epa.gov/download/BirAL_PctStTC_tif.zip,https://enviroatlas.epa.gov/download/BirAL_changelog.txt
"Brownsville, TX",https://enviroatlas.epa.gov/download/BTX_metrics_Apr2020_METADATA.zip,https://enviroatlas.epa.gov/download/BTX_metrics_Apr2020_FGDB.zip,https://enviroatlas.epa.gov/download/BTX_metrics_Apr2020_CSV_Shapes.zip,https://enviroatlas.epa.gov/download/BTX_MULC_tif.zip,https://enviroatlas.epa.gov/download/BTX_Conn_tif.zip,https://enviroatlas.epa.gov/download/BTX_IntDen_tif.zip,https://enviroatlas.epa.gov/download/BTX_PctStGS_tif.zip,https://enviroatlas.epa.gov/download/BTX_PctStTC_tif.zip,https://enviroatlas.epa.gov/download/BTX_changelog.txt
"Chicago, IL",https://enviroatlas.epa.gov/download/CIL_metrics_Apr2020_METADATA.zip,https://enviroatlas.epa.gov/download/CIL_metrics_Apr2020_FGDB.zip,https://enviroatlas.epa.gov/download/CIL_metrics_Apr2020_CSV_Shapes.zip,https://enviroatlas.epa.gov/download/CIL_MULC_tif.zip,https://enviroatlas.epa.gov/download/CIL_Conn_tif.zip,https://enviroatlas.epa.gov/download/CIL_IntDen_tif.zip,https://enviroatlas.epa.gov/download/CIL_PctStGS_tif.zip,https://enviroatlas.epa.gov/download/CIL_PctStTC_tif.zip,https://enviroatlas.epa.gov/download/CIL_changelog.txt
"Cleveland, OH",https://enviroatlas.epa.gov/download/CleOH_metrics_Apr2020_METADATA.zip,https://enviroatlas.epa.gov/download/CleOH_metrics_Apr2020_FGDB.zip,https://enviroatlas.epa.gov/download/CleOH_metrics_Apr2020_CSV_Shapes.zip,https://enviroatlas.epa.gov/download/CleOH_MULC_tif.zip,https://enviroatlas.epa.gov/download/CleOH_Conn_tif.zip,https://enviroatlas.epa.gov/download/CleOH_IntDen_tif.zip,https://enviroatlas.epa.gov/download/CleOH_PctStGS_tif.zip,https://enviroatlas.epa.gov/download/CleOH_PctStTC_tif.zip,https://enviroatlas.epa.gov/download/CleOH_changelog.txt
"Des Moines, IA",https://enviroatlas.epa.gov/download/DMIA_metrics_Apr2020_METADATA.zip,https://enviroatlas.epa.gov/download/DMIA_metrics_Apr2020_FGDB.zip,https://enviroatlas.epa.gov/download/DMIA_metrics_Apr2020_CSV_Shapes.zip,https://enviroatlas.epa.gov/download/DMIA_MULC_tif.zip,https://enviroatlas.epa.gov/download/DMIA_Conn_tif.zip,https://enviroatlas.epa.gov/download/DMIA_IntDen_tif.zip,https://enviroatlas.epa.gov/download/DMIA_PctStGS_tif.zip,https://enviroatlas.epa.gov/download/DMIA_PctStTC_tif.zip,https://enviroatlas.epa.gov/download/DMIA_changelog.txt
"Durham, NC",https://enviroatlas.epa.gov/download/DNC_metrics_Apr2020_METADATA.zip,https://enviroatlas.epa.gov/download/DNC_metrics_Apr2020_FGDB.zip,https://enviroatlas.epa.gov/download/DNC_metrics_Apr2020_CSV_Shapes.zip,https://enviroatlas.epa.gov/download/DNC_MULC_tif.zip,https://enviroatlas.epa.gov/download/DNC_Conn_tif.zip,https://enviroatlas.epa.gov/download/DNC_IntDen_tif.zip,https://enviroatlas.epa.gov/download/DNC_PctStGS_tif.zip,https://enviroatlas.epa.gov/download/DNC_PctStTC_tif.zip,https://enviroatlas.epa.gov/download/DNC_changelog.txt
"Fresno, CA",https://enviroatlas.epa.gov/download/FCA_metrics_Apr2020_METADATA.zip,https://enviroatlas.epa.gov/download/FCA_metrics_Apr2020_FGDB.zip,https://enviroatlas.epa.gov/download/FCA_metrics_Apr2020_CSV_Shapes.zip,https://enviroatlas.epa.gov/download/FCA_MULC_tif.zip,https://enviroatlas.epa.gov/download/FCA_Conn_tif.zip,https://enviroatlas.epa.gov/download/FCA_IntDen_tif.zip,https://enviroatlas.epa.gov/download/FCA_PctStGS_tif.zip,https://enviroatlas.epa.gov/download/FCA_PctStTC_tif.zip,https://enviroatlas.epa.gov/download/FCA_changelog.txt
"Green Bay, WI",https://enviroatlas.epa.gov/download//GBWI_metrics_Apr2020_METADATA.zip,https://enviroatlas.epa.gov/download//GBWI_metrics_Apr2020_FGDB.zip,https://enviroatlas.epa.gov/download//GBWI_metrics_Apr2020_CSV_Shapes.zip,https://enviroatlas.epa.gov/download//GBWI_MULC_tif.zip,https://enviroatlas.epa.gov/download//GBWI_Conn_tif.zip,https://enviroatlas.epa.gov/download//GBWI_IntDen_tif.zip,https://enviroatlas.epa.gov/download//GBWI_PctStGS_tif.zip,https://enviroatlas.epa.gov/download//GBWI_PctStTC_tif.zip,https://enviroatlas.epa.gov/download//GBWI_changelog.txt
"Los Angeles, CA",https://enviroatlas.epa.gov/download//LACA_metrics_May2021_METADATA.zip,https://enviroatlas.epa.gov/download//LACA_metrics_May2021_FGDB.zip,https://enviroatlas.epa.gov/download//LACA_metrics_May2021_CSV_Shapes.zip,https://enviroatlas.epa.gov/download//LACA_MULC_tif.zip,https://enviroatlas.epa.gov/download//LACA_Conn_tif.zip,https://enviroatlas.epa.gov/download//LACA_IntDen_tif.zip,https://enviroatlas.epa.gov/download//LACA_PctStGS_tif.zip,https://enviroatlas.epa.gov/download//LACA_PctStTC_tif.zip,https://enviroatlas.epa.gov/download//LACA_changelog.txt
"Memphis, TN",https://enviroatlas.epa.gov/download//MTN_metrics_Apr2020_METADATA.zip,https://enviroatlas.epa.gov/download//MTN_metrics_Apr2020_FGDB.zip,https://enviroatlas.epa.gov/download//MTN_metrics_Apr2020_CSV_Shapes.zip,https://enviroatlas.epa.gov/download//MTN_MULC_tif.zip,https://enviroatlas.epa.gov/download//MTN_Conn_tif.zip,https://enviroatlas.epa.gov/download//MTN_IntDen_tif.zip,https://enviroatlas.epa.gov/download//MTN_PctStGS_tif.zip,https://enviroatlas.epa.gov/download//MTN_PctStTC_tif.zip,https://enviroatlas.epa.gov/download//MTN_changelog.txt
"Milwaukee, WI",https://enviroatlas.epa.gov/download//MWI_metrics_Apr2020_METADATA.zip,https://enviroatlas.epa.gov/download//MWI_metrics_Apr2020_FGDB.zip,https://enviroatlas.epa.gov/download//MWI_metrics_Apr2020_CSV_Shapes.zip,https://enviroatlas.epa.gov/download//MWI_MULC_tif.zip,https://enviroatlas.epa.gov/download//MWI_Conn_tif.zip,https://enviroatlas.epa.gov/download//MWI_IntDen_tif.zip,https://enviroatlas.epa.gov/download//MWI_PctStGS_tif.zip,https://enviroatlas.epa.gov/download//MWI_PctStTC_tif.zip,https://enviroatlas.epa.gov/download//MWI_changelog.txt
"Minneapolis / St.Paul, MN",https://enviroatlas.epa.gov/download/MSPMN_metrics_Apr2020_METADATA.zip,https://enviroatlas.epa.gov/download//MSPMN_metrics_Apr2020_FGDB.zip,https://enviroatlas.epa.gov/download//MSPMN_metrics_Apr2020_CSV_Shapes.zip,https://enviroatlas.epa.gov/download//MSPMN_MULC_tif.zip,https://enviroatlas.epa.gov/download//MSPMN_Conn_tif.zip,https://enviroatlas.epa.gov/download//MSPMN_IntDen_tif.zip,https://enviroatlas.epa.gov/download//MSPMN_PctStGS_tif.zip,https://enviroatlas.epa.gov/download//MSPMN_PctStTC_tif.zip,https://enviroatlas.epa.gov/download//MSPMN_changelog.txt
"New Bedford, MA",https://enviroatlas.epa.gov/download//NBMA_metrics_Apr2020_METADATA.zip,https://enviroatlas.epa.gov/download//NBMA_metrics_Apr2020_FGDB.zip,https://enviroatlas.epa.gov/download//NBMA_metrics_Apr2020_CSV_Shapes.zip,https://enviroatlas.epa.gov/download//NBMA_MULC_tif.zip,https://enviroatlas.epa.gov/download//NBMA_Conn_tif.zip,https://enviroatlas.epa.gov/download//NBMA_IntDen_tif.zip,https://enviroatlas.epa.gov/download//NBMA_PctStGS_tif.zip,https://enviroatlas.epa.gov/download//NBMA_PctStTC_tif.zip,https://enviroatlas.epa.gov/download//NBMA_changelog.txt
"New Haven, CT",https://enviroatlas.epa.gov/download//NHCT_metrics_Apr2020_METADATA.zip,https://enviroatlas.epa.gov/download//NHCT_metrics_Apr2020_FGDB.zip,https://enviroatlas.epa.gov/download//NHCT_metrics_Apr2020_CSV_Shapes.zip,https://enviroatlas.epa.gov/download//NHCT_MULC_tif.zip,https://enviroatlas.epa.gov/download//NHCT_Conn_tif.zip,https://enviroatlas.epa.gov/download//NHCT_IntDen_tif.zip,https://enviroatlas.epa.gov/download//NHCT_PctStGS_tif.zip,https://enviroatlas.epa.gov/download//NHCT_PctStTC_tif.zip,https://enviroatlas.epa.gov/download//NHCT_changelog.txt
"New York, NY",https://enviroatlas.epa.gov/download//NYNY_metrics_Apr2020_METADATA.zip,https://enviroatlas.epa.gov/download//NYNY_metrics_Apr2020_FGDB.zip,https://enviroatlas.epa.gov/download//NYNY_metrics_Apr2020_CSV_Shapes.zip,https://enviroatlas.epa.gov/download//NYNY_MULC_tif.zip,https://enviroatlas.epa.gov/download//NYNY_Conn_tif.zip,https://enviroatlas.epa.gov/download//NYNY_IntDen_tif.zip,https://enviroatlas.epa.gov/download//NYNY_PctStGS_tif.zip,https://enviroatlas.epa.gov/download//NYNY_PctStTC_tif.zip,https://enviroatlas.epa.gov/download//NYNY_changelog.txt
"Paterson, NJ",https://enviroatlas.epa.gov/download//PNJ_metrics_Apr2020_METADATA.zip,https://enviroatlas.epa.gov/download//PNJ_metrics_Apr2020_FGDB.zip,https://enviroatlas.epa.gov/download//PNJ_metrics_Apr2020_CSV_Shapes.zip,https://enviroatlas.epa.gov/download//PNJ_MULC_tif.zip,https://enviroatlas.epa.gov/download//PNJ_Conn_tif.zip,https://enviroatlas.epa.gov/download//PNJ_IntDen_tif.zip,https://enviroatlas.epa.gov/download//PNJ_PctStGS_tif.zip,https://enviroatlas.epa.gov/download//PNJ_PctStTC_tif.zip,https://enviroatlas.epa.gov/download//PNJ_changelog.txt
"Philadelphia, PA ",https://enviroatlas.epa.gov/download//PhiPA_metrics_Apr2020_METADATA.zip,https://enviroatlas.epa.gov/download//PhiPA_metrics_Apr2020_FGDB.zip,https://enviroatlas.epa.gov/download//PhiPA_metrics_Apr2020_CSV_Shapes.zip,https://enviroatlas.epa.gov/download//PhiPA_MULC_tif.zip,https://enviroatlas.epa.gov/download//PhiPA_Conn_tif.zip,https://enviroatlas.epa.gov/download//PhiPA_IntDen_tif.zip,https://enviroatlas.epa.gov/download//PhiPA_PctStGS_tif.zip,https://enviroatlas.epa.gov/download//PhiPA_PctStTC_tif.zip,https://enviroatlas.epa.gov/download//PhiPA_changelog.txt
"Phoenix, AZ",https://enviroatlas.epa.gov/download//PAZ_metrics_Apr2020_METADATA.zip,https://enviroatlas.epa.gov/download//PAZ_metrics_Apr2020_FGDB.zip,https://enviroatlas.epa.gov/download//PAZ_metrics_Apr2020_CSV_Shapes.zip,https://enviroatlas.epa.gov/download//PAZ_MULC_tif.zip,https://enviroatlas.epa.gov/download//PAZ_Conn_tif.zip,https://enviroatlas.epa.gov/download//PAZ_IntDen_tif.zip,https://enviroatlas.epa.gov/download//PAZ_PctStGS_tif.zip,https://enviroatlas.epa.gov/download//PAZ_PctStTC_tif.zip,https://enviroatlas.epa.gov/download//PAZ_changelog.txt
"Pittsburgh, PA",https://enviroatlas.epa.gov/download//PitPA_metrics_Apr2020_METADATA.zip,https://enviroatlas.epa.gov/download//PitPA_metrics_Apr2020_FGDB.zip,https://enviroatlas.epa.gov/download//PitPA_metrics_Apr2020_CSV_Shapes.zip,https://enviroatlas.epa.gov/download//PitPA_MULC_tif.zip,https://enviroatlas.epa.gov/download//PitPA_Conn_tif.zip,https://enviroatlas.epa.gov/download//PitPA_IntDen_tif.zip,https://enviroatlas.epa.gov/download//PitPA_PctStGS_tif.zip,https://enviroatlas.epa.gov/download//PitPA_PctStTC_tif.zip,https://enviroatlas.epa.gov/download//PitPA_changelog.txt
"Portland, ME",https://enviroatlas.epa.gov/download//PME_metrics_Apr2020_METADATA.zip,https://enviroatlas.epa.gov/download//PME_metrics_Apr2020_FGDB.zip,https://enviroatlas.epa.gov/download//PME_metrics_Apr2020_CSV_Shapes.zip,https://enviroatlas.epa.gov/download//PME_MULC_tif.zip,https://enviroatlas.epa.gov/download//PME_Conn_tif.zip,https://enviroatlas.epa.gov/download//PME_IntDen_tif.zip,https://enviroatlas.epa.gov/download//PME_PctStGS_tif.zip,https://enviroatlas.epa.gov/download//PME_PctStTC_tif.zip,https://enviroatlas.epa.gov/download//PME_changelog.txt
"Portland, OR",https://enviroatlas.epa.gov/download//POR_metrics_Apr2020_METADATA.zip,https://enviroatlas.epa.gov/download//POR_metrics_Apr2020_FGDB.zip,https://enviroatlas.epa.gov/download//POR_metrics_Apr2020_CSV_Shapes.zip,https://enviroatlas.epa.gov/download//POR_MULC_tif.zip,https://enviroatlas.epa.gov/download//POR_Conn_tif.zip,https://enviroatlas.epa.gov/download//POR_IntDen_tif.zip,https://enviroatlas.epa.gov/download//POR_PctStGS_tif.zip,https://enviroatlas.epa.gov/download//POR_PctStTC_tif.zip,https://enviroatlas.epa.gov/download//POR_changelog.txt
"Salt Lake City, UT",https://enviroatlas.epa.gov/download//SLCUT_metrics_Apr2020_METADATA.zip,https://enviroatlas.epa.gov/download//SLCUT_metrics_Apr2020_FGDB.zip,https://enviroatlas.epa.gov/download//SLCUT_metrics_Apr2020_CSV_Shapes.zip,https://enviroatlas.epa.gov/download//SLCUT_MULC_tif.zip,https://enviroatlas.epa.gov/download//SLCUT_Conn_tif.zip,https://enviroatlas.epa.gov/download//SLCUT_IntDen_tif.zip,https://enviroatlas.epa.gov/download//SLCUT_PctStGS_tif.zip,https://enviroatlas.epa.gov/download//SLCUT_PctStTC_tif.zip,https://enviroatlas.epa.gov/download//SLCUT_changelog.txt
"San Diego, CA",https://enviroatlas.epa.gov/download/SDCA_metrics_Mar2023_METADATA.zip,https://enviroatlas.epa.gov/download/SDCA_metrics_Mar2023_FGDB.zip,https://enviroatlas.epa.gov/download/SDCA_metrics_Mar2023_CSV_Shapes.zip,https://enviroatlas.epa.gov/download/SDCA_MULC.tif.zip,N/A,N/A,https://enviroatlas.epa.gov/download/SDCA_PctStGS.tif.zip,https://enviroatlas.epa.gov/download/SDCA_PctStTC.tif.zip,https://enviroatlas.epa.gov/download/SDCA_changelog.txt
"Sonoma County, CA ",https://enviroatlas.epa.gov/download//SonCA_metrics_Apr2020_METADATA.zip,https://enviroatlas.epa.gov/download//SonCA_metrics_Apr2020_FGDB.zip,https://enviroatlas.epa.gov/download//SonCA_metrics_Apr2020_CSV_Shapes.zip,https://enviroatlas.epa.gov/download//SonCA_MULC_tif.zip,https://enviroatlas.epa.gov/download//SonCA_Conn_tif.zip,https://enviroatlas.epa.gov/download//SonCA_IntDen_tif.zip,https://enviroatlas.epa.gov/download//SonCA_PctStGS_tif.zip,https://enviroatlas.epa.gov/download//SonCA_PctStTC_tif.zip,https://enviroatlas.epa.gov/download//SonCA_changelog.txt
"St. Louis, MO",https://enviroatlas.epa.gov/download//SLMO_metrics_Oct2019_METADATA.zip,https://enviroatlas.epa.gov/download//SLMO_metrics_Oct2019_FGDB.zip,https://enviroatlas.epa.gov/download//SLMO_metrics_Oct2019_CSV_Shapes.zip,https://enviroatlas.epa.gov/download//SLMO_MULC_tif.zip,https://enviroatlas.epa.gov/download//SLMO_Conn_tif.zip,https://enviroatlas.epa.gov/download//SLMO_IntDen_tif.zip,https://enviroatlas.epa.gov/download//SLMO_PctStGS_tif.zip,https://enviroatlas.epa.gov/download//SLMO_PctStTC_tif.zip,https://enviroatlas.epa.gov/download//SLMO_changelog.txt
"Tacoma, WA",https://enviroatlas.epa.gov/download/TacWA_metrics_Mar2023_METADATA.zip,https://enviroatlas.epa.gov/download/TacWA_metrics_Mar2023_FGDB.zip,https://enviroatlas.epa.gov/download/TacWA_metrics_Mar2023_CSV_Shapes.zip,https://enviroatlas.epa.gov/download/TacWA_MULC.tif.zip,N/A,N/A,https://enviroatlas.epa.gov/download/TacWA_PctStGS.tif.zip,https://enviroatlas.epa.gov/download/TacWA_PctStTC.tif.zip,https://enviroatlas.epa.gov/download/TacWA_changelog.txt
"Tampa, FL",https://enviroatlas.epa.gov/download//TFL_metrics_Apr2020_METADATA.zip,https://enviroatlas.epa.gov/download//TFL_metrics_Apr2020_FGDB.zip,https://enviroatlas.epa.gov/download//TFL_metrics_Apr2020_CSV_Shapes.zip,https://enviroatlas.epa.gov/download//TFL_MULC_tif.zip,https://enviroatlas.epa.gov/download//TFL_Conn_tif.zip,https://enviroatlas.epa.gov/download//TFL_IntDen_tif.zip,https://enviroatlas.epa.gov/download//TFL_PctStGS_tif.zip,https://enviroatlas.epa.gov/download//TFL_PctStTC_tif.zip,https://enviroatlas.epa.gov/download//TFL_changelog.txt
"Virginia Beach/ Williamsburg, VA",https://enviroatlas.epa.gov/download//VBWVA_metrics_Apr2020_METADATA.zip,https://enviroatlas.epa.gov/download//VBWVA_metrics_Apr2020_FGDB.zip,https://enviroatlas.epa.gov/download//VBWVA_metrics_Apr2020_CSV_Shapes.zip,https://enviroatlas.epa.gov/download//VBWVA_MULC_tif.zip,https://enviroatlas.epa.gov/download//VBWVA_Conn_tif.zip,https://enviroatlas.epa.gov/download//VBWVA_IntDen_tif.zip,https://enviroatlas.epa.gov/download//VBWVA_PctStGS_tif.zip,https://enviroatlas.epa.gov/download//VBWVA_PctStTC_tif.zip,https://enviroatlas.epa.gov/download//VBWVA_changelog.txt
"Washington, DC",https://enviroatlas.epa.gov/download//WDC_metrics_Oct2019_METADATA.zip,https://enviroatlas.epa.gov/download//WDC_metrics_Oct2019_FGDB.zip,https://enviroatlas.epa.gov/download//WDC_metrics_Oct2019_CSV_Shapes.zip,https://enviroatlas.epa.gov/download//WDC_MULC_tif.zip,https://enviroatlas.epa.gov/download//WDC_Conn_tif.zip,https://enviroatlas.epa.gov/download//WDC_IntDen_tif.zip,https://enviroatlas.epa.gov/download//WDC_PctStGS_tif.zip,https://enviroatlas.epa.gov/download//WDC_PctStTC_tif.zip,https://enviroatlas.epa.gov/download//WDC_changelog.txt
"Woodbine, IA",https://enviroatlas.epa.gov/download//WIA_metrics_Apr2020_METADATA.zip,https://enviroatlas.epa.gov/download//WIA_metrics_Apr2020_FGDB.zip,https://enviroatlas.epa.gov/download//WIA_metrics_Apr2020_CSV_Shapes.zip,https://enviroatlas.epa.gov/download//WIA_MULC_tif.zip,https://enviroatlas.epa.gov/download//WIA_Conn_tif.zip,https://enviroatlas.epa.gov/download//WIA_IntDen_tif.zip,https://enviroatlas.epa.gov/download//WIA_PctStGS_tif.zip,https://enviroatlas.epa.gov/download//WIA_PctStTC_tif.zip,https://enviroatlas.epa.gov/download//WIA_changelog.txt
